date,store_id,store_name,product_id,product_name,category,units_sold,price_lkr,discount,day_of_week,brand,gender,subcategory
01/01/2024,S001,Nugegoda,P001,T-shirt,Clothing,17,2500,0.2,Monday,Nike,Men,Casual Wear
01/01/2024,S001,Nugegoda,P002,Jeans,Clothing,11,5500,0.2,Monday,Levis,Men,Denim
01/01/2024,S001,Nugegoda,P003,Jacket,Clothing,5,8500,0.2,Monday,Adidas,Men,Outerwear
01/01/2024,S001,Nugegoda,P004,Shoes,Footwear,9,7500,0.2,Monday,Puma,Men,Sportswear
01/01/2024,S001,Nugegoda,P005,Cap,Accessories,22,1200,0.2,Monday,Under Armour,Unisex,Accessories
01/01/2024,S001,Nugegoda,P006,Umbrella,Accessories,25,1800,0.2,Monday,Kadurata,Unisex,General
01/01/2024,S001,Nugegoda,P007,Backpack,Accessories,31,4500,0.2,Monday,Modano,Unisex,General
01/01/2024,S001,Nugegoda,P008,Hoodie,Clothing,5,4800,0.2,Monday,Hustle,Unisex,General
01/01/2024,S002,Negombo,P001,T-shirt,Clothing,19,2500,0.2,Monday,Nike,Men,Casual Wear
01/01/2024,S002,Negombo,P002,Jeans,Clothing,12,5500,0.2,Monday,Levis,Men,Denim
01/01/2024,S002,Negombo,P003,Jacket,Clothing,6,8500,0.2,Monday,Adidas,Men,Outerwear
01/01/2024,S002,Negombo,P004,Shoes,Footwear,9,7500,0.2,Monday,Puma,Men,Sportswear
01/01/2024,S002,Negombo,P005,Cap,Accessories,36,1200,0.2,Monday,Under Armour,Unisex,Accessories
01/01/2024,S002,Negombo,P006,Umbrella,Accessories,42,1800,0.2,Monday,Kadurata,Unisex,General
01/01/2024,S002,Negombo,P007,Backpack,Accessories,50,4500,0.2,Monday,Modano,Unisex,General
01/01/2024,S002,Negombo,P008,Hoodie,Clothing,6,4800,0.2,Monday,Hustle,Unisex,General
01/01/2024,S003,Kirulapone,P001,T-shirt,Clothing,15,2500,0.2,Monday,Nike,Men,Casual Wear
01/01/2024,S003,Kirulapone,P002,Jeans,Clothing,10,5500,0.2,Monday,Levis,Men,Denim
01/01/2024,S003,Kirulapone,P003,Jacket,Clothing,5,8500,0.2,Monday,Adidas,Men,Outerwear
01/01/2024,S003,Kirulapone,P004,Shoes,Footwear,8,7500,0.2,Monday,Puma,Men,Sportswear
01/01/2024,S003,Kirulapone,P005,Cap,Accessories,17,1200,0.2,Monday,Under Armour,Unisex,Accessories
01/01/2024,S003,Kirulapone,P006,Umbrella,Accessories,20,1800,0.2,Monday,Kadurata,Unisex,General
01/01/2024,S003,Kirulapone,P007,Backpack,Accessories,26,4500,0.2,Monday,Modano,Unisex,General
01/01/2024,S003,Kirulapone,P008,Hoodie,Clothing,5,4800,0.2,Monday,Hustle,Unisex,General
02/01/2024,S001,Nugegoda,P001,T-shirt,Clothing,17,2500,0,Tuesday,Nike,Men,Casual Wear
02/01/2024,S001,Nugegoda,P002,Jeans,Clothing,12,5500,0,Tuesday,Levis,Men,Denim
02/01/2024,S001,Nugegoda,P003,Jacket,Clothing,5,8500,0,Tuesday,Adidas,Men,Outerwear
02/01/2024,S001,Nugegoda,P004,Shoes,Footwear,10,7500,0,Tuesday,Puma,Men,Sportswear
02/01/2024,S001,Nugegoda,P005,Cap,Accessories,12,1200,0,Tuesday,Under Armour,Unisex,Accessories
02/01/2024,S001,Nugegoda,P006,Umbrella,Accessories,6,1800,0,Tuesday,Kadurata,Unisex,General
02/01/2024,S001,Nugegoda,P007,Backpack,Accessories,18,4500,0,Tuesday,Modano,Unisex,General
02/01/2024,S001,Nugegoda,P008,Hoodie,Clothing,6,4800,0,Tuesday,Hustle,Unisex,General
02/01/2024,S002,Negombo,P001,T-shirt,Clothing,20,2500,0,Tuesday,Nike,Men,Casual Wear
02/01/2024,S002,Negombo,P002,Jeans,Clothing,12,5500,0,Tuesday,Levis,Men,Denim
02/01/2024,S002,Negombo,P003,Jacket,Clothing,6,8500,0,Tuesday,Adidas,Men,Outerwear
02/01/2024,S002,Negombo,P004,Shoes,Footwear,10,7500,0,Tuesday,Puma,Men,Sportswear
02/01/2024,S002,Negombo,P005,Cap,Accessories,19,1200,0,Tuesday,Under Armour,Unisex,Accessories
02/01/2024,S002,Negombo,P006,Umbrella,Accessories,9,1800,0,Tuesday,Kadurata,Unisex,General
02/01/2024,S002,Negombo,P007,Backpack,Accessories,29,4500,0,Tuesday,Modano,Unisex,General
02/01/2024,S002,Negombo,P008,Hoodie,Clothing,6,4800,0,Tuesday,Hustle,Unisex,General
02/01/2024,S003,Kirulapone,P001,T-shirt,Clothing,16,2500,0,Tuesday,Nike,Men,Casual Wear
02/01/2024,S003,Kirulapone,P002,Jeans,Clothing,10,5500,0,Tuesday,Levis,Men,Denim
02/01/2024,S003,Kirulapone,P003,Jacket,Clothing,5,8500,0,Tuesday,Adidas,Men,Outerwear
02/01/2024,S003,Kirulapone,P004,Shoes,Footwear,8,7500,0,Tuesday,Puma,Men,Sportswear
02/01/2024,S003,Kirulapone,P005,Cap,Accessories,10,1200,0,Tuesday,Under Armour,Unisex,Accessories
02/01/2024,S003,Kirulapone,P006,Umbrella,Accessories,5,1800,0,Tuesday,Kadurata,Unisex,General
02/01/2024,S003,Kirulapone,P007,Backpack,Accessories,14,4500,0,Tuesday,Modano,Unisex,General
02/01/2024,S003,Kirulapone,P008,Hoodie,Clothing,5,4800,0,Tuesday,Hustle,Unisex,General
03/01/2024,S001,Nugegoda,P001,T-shirt,Clothing,18,2500,0,Wednesday,Nike,Men,Casual Wear
03/01/2024,S001,Nugegoda,P002,Jeans,Clothing,12,5500,0,Wednesday,Levis,Men,Denim
03/01/2024,S001,Nugegoda,P003,Jacket,Clothing,6,8500,0,Wednesday,Adidas,Men,Outerwear
03/01/2024,S001,Nugegoda,P004,Shoes,Footwear,9,7500,0,Wednesday,Puma,Men,Sportswear
03/01/2024,S001,Nugegoda,P005,Cap,Accessories,12,1200,0,Wednesday,Under Armour,Unisex,Accessories
03/01/2024,S001,Nugegoda,P006,Umbrella,Accessories,6,1800,0,Wednesday,Kadurata,Unisex,General
03/01/2024,S001,Nugegoda,P007,Backpack,Accessories,17,4500,0,Wednesday,Modano,Unisex,General
