date,store_id,store_name,product_id,product_name,category,units_sold,price_lkr,discount,day_of_week
01/01/2024,S001,Nugegoda,P001,T-shirt,Clothing,17,2500,0.2,Monday
01/01/2024,S001,Nugegoda,P002,Jeans,Clothing,11,5500,0.2,Monday
01/01/2024,S001,Nugegoda,P003,Jacket,Clothing,5,8500,0.2,Monday
01/01/2024,S001,Nugegoda,P004,Shoes,Footwear,9,7500,0.2,Monday
01/01/2024,S001,Nugegoda,P005,Cap,Accessories,22,1200,0.2,Monday
01/01/2024,S001,Nugegoda,P006,Umbrella,Accessories,25,1800,0.2,Monday
01/01/2024,S001,Nugegoda,P007,Backpack,Accessories,31,4500,0.2,Monday
01/01/2024,S001,Nugegoda,P008,Hoodie,Clothing,5,4800,0.2,Monday
01/01/2024,S002,Negombo,P001,T-shirt,Clothing,19,2500,0.2,Monday
01/01/2024,S002,Negombo,P002,Jeans,Clothing,12,5500,0.2,Monday
01/01/2024,S002,Negombo,P003,Jacket,Clothing,6,8500,0.2,Monday
01/01/2024,S002,Negombo,P004,Shoes,Footwear,9,7500,0.2,Monday
01/01/2024,S002,Negombo,P005,Cap,Accessories,36,1200,0.2,Monday
01/01/2024,S002,Negombo,P006,Umbrella,Accessories,42,1800,0.2,Monday
01/01/2024,S002,Negombo,P007,Backpack,Accessories,50,4500,0.2,Monday
01/01/2024,S002,Negombo,P008,Hoodie,Clothing,6,4800,0.2,Monday
01/01/2024,S003,Kirulapone,P001,T-shirt,Clothing,15,2500,0.2,Monday
01/01/2024,S003,Kirulapone,P002,Jeans,Clothing,10,5500,0.2,Monday
01/01/2024,S003,Kirulapone,P003,Jacket,Clothing,5,8500,0.2,Monday
01/01/2024,S003,Kirulapone,P004,Shoes,Footwear,8,7500,0.2,Monday
01/01/2024,S003,Kirulapone,P005,Cap,Accessories,17,1200,0.2,Monday
01/01/2024,S003,Kirulapone,P006,Umbrella,Accessories,20,1800,0.2,Monday
01/01/2024,S003,Kirulapone,P007,Backpack,Accessories,26,4500,0.2,Monday
01/01/2024,S003,Kirulapone,P008,Hoodie,Clothing,5,4800,0.2,Monday
02/01/2024,S001,Nugegoda,P001,T-shirt,Clothing,17,2500,0.0,Tuesday
02/01/2024,S001,Nugegoda,P002,Jeans,Clothing,12,5500,0.0,Tuesday
02/01/2024,S001,Nugegoda,P003,Jacket,Clothing,5,8500,0.0,Tuesday
02/01/2024,S001,Nugegoda,P004,Shoes,Footwear,10,7500,0.0,Tuesday
02/01/2024,S001,Nugegoda,P005,Cap,Accessories,12,1200,0.0,Tuesday
02/01/2024,S001,Nugegoda,P006,Umbrella,Accessories,6,1800,0.0,Tuesday
02/01/2024,S001,Nugegoda,P007,Backpack,Accessories,18,4500,0.0,Tuesday
02/01/2024,S001,Nugegoda,P008,Hoodie,Clothing,6,4800,0.0,Tuesday
02/01/2024,S002,Negombo,P001,T-shirt,Clothing,20,2500,0.0,Tuesday
02/01/2024,S002,Negombo,P002,Jeans,Clothing,12,5500,0.0,Tuesday
02/01/2024,S002,Negombo,P003,Jacket,Clothing,6,8500,0.0,Tuesday
02/01/2024,S002,Negombo,P004,Shoes,Footwear,10,7500,0.0,Tuesday
02/01/2024,S002,Negombo,P005,Cap,Accessories,19,1200,0.0,Tuesday
02/01/2024,S002,Negombo,P006,Umbrella,Accessories,9,1800,0.0,Tuesday
02/01/2024,S002,Negombo,P007,Backpack,Accessories,29,4500,0.0,Tuesday
02/01/2024,S002,Negombo,P008,Hoodie,Clothing,6,4800,0.0,Tuesday
02/01/2024,S003,Kirulapone,P001,T-shirt,Clothing,16,2500,0.0,Tuesday
02/01/2024,S003,Kirulapone,P002,Jeans,Clothing,10,5500,0.0,Tuesday
02/01/2024,S003,Kirulapone,P003,Jacket,Clothing,5,8500,0.0,Tuesday
02/01/2024,S003,Kirulapone,P004,Shoes,Footwear,8,7500,0.0,Tuesday
02/01/2024,S003,Kirulapone,P005,Cap,Accessories,10,1200,0.0,Tuesday
02/01/2024,S003,Kirulapone,P006,Umbrella,Accessories,5,1800,0.0,Tuesday
02/01/2024,S003,Kirulapone,P007,Backpack,Accessories,14,4500,0.0,Tuesday
02/01/2024,S003,Kirulapone,P008,Hoodie,Clothing,5,4800,0.0,Tuesday
03/01/2024,S001,Nugegoda,P001,T-shirt,Clothing,18,2500,0.0,Wednesday
03/01/2024,S001,Nugegoda,P002,Jeans,Clothing,12,5500,0.0,Wednesday
03/01/2024,S001,Nugegoda,P003,Jacket,Clothing,6,8500,0.0,Wednesday
03/01/2024,S001,Nugegoda,P004,Shoes,Footwear,9,7500,0.0,Wednesday
03/01/2024,S001,Nugegoda,P005,Cap,Accessories,12,1200,0.0,Wednesday
03/01/2024,S001,Nugegoda,P006,Umbrella,Accessories,6,1800,0.0,Wednesday
03/01/2024,S001,Nugegoda,P007,Backpack,Accessories,17,4500,0.0,Wednesday
03/01/2024,S001,Nugegoda,P008,Hoodie,Clothing,6,4800,0.0,Wednesday
03/01/2024,S002,Negombo,P001,T-shirt,Clothing,18,2500,0.0,Wednesday
03/01/2024,S002,Negombo,P002,Jeans,Clothing,13,5500,0.0,Wednesday
03/01/2024,S002,Negombo,P003,Jacket,Clothing,6,8500,0.0,Wednesday
03/01/2024,S002,Negombo,P004,Shoes,Footwear,10,7500,0.0,Wednesday
03/01/2024,S002,Negombo,P005,Cap,Accessories,19,1200,0.0,Wednesday
03/01/2024,S002,Negombo,P006,Umbrella,Accessories,10,1800,0.0,Wednesday
03/01/2024,S002,Negombo,P007,Backpack,Accessories,30,4500,0.0,Wednesday
03/01/2024,S002,Negombo,P008,Hoodie,Clothing,6,4800,0.0,Wednesday
03/01/2024,S003,Kirulapone,P001,T-shirt,Clothing,16,2500,0.0,Wednesday
03/01/2024,S003,Kirulapone,P002,Jeans,Clothing,10,5500,0.0,Wednesday
03/01/2024,S003,Kirulapone,P003,Jacket,Clothing,5,8500,0.0,Wednesday
03/01/2024,S003,Kirulapone,P004,Shoes,Footwear,9,7500,0.0,Wednesday
03/01/2024,S003,Kirulapone,P005,Cap,Accessories,10,1200,0.0,Wednesday
03/01/2024,S003,Kirulapone,P006,Umbrella,Accessories,5,1800,0.0,Wednesday
03/01/2024,S003,Kirulapone,P007,Backpack,Accessories,14,4500,0.0,Wednesday
03/01/2024,S003,Kirulapone,P008,Hoodie,Clothing,5,4800,0.0,Wednesday
04/01/2024,S001,Nugegoda,P001,T-shirt,Clothing,18,2500,0.0,Thursday
04/01/2024,S001,Nugegoda,P002,Jeans,Clothing,12,5500,0.0,Thursday
04/01/2024,S001,Nugegoda,P003,Jacket,Clothing,5,8500,0.0,Thursday
04/01/2024,S001,Nugegoda,P004,Shoes,Footwear,9,7500,0.0,Thursday
04/01/2024,S001,Nugegoda,P005,Cap,Accessories,12,1200,0.0,Thursday
04/01/2024,S001,Nugegoda,P006,Umbrella,Accessories,5,1800,0.0,Thursday
04/01/2024,S001,Nugegoda,P007,Backpack,Accessories,16,4500,0.0,Thursday
04/01/2024,S001,Nugegoda,P008,Hoodie,Clothing,5,4800,0.0,Thursday
04/01/2024,S002,Negombo,P001,T-shirt,Clothing,19,2500,0.0,Thursday
04/01/2024,S002,Negombo,P002,Jeans,Clothing,12,5500,0.0,Thursday
04/01/2024,S002,Negombo,P003,Jacket,Clothing,6,8500,0.0,Thursday
04/01/2024,S002,Negombo,P004,Shoes,Footwear,10,7500,0.0,Thursday
04/01/2024,S002,Negombo,P005,Cap,Accessories,20,1200,0.0,Thursday
04/01/2024,S002,Negombo,P006,Umbrella,Accessories,10,1800,0.0,Thursday
04/01/2024,S002,Negombo,P007,Backpack,Accessories,29,4500,0.0,Thursday
04/01/2024,S002,Negombo,P008,Hoodie,Clothing,6,4800,0.0,Thursday
04/01/2024,S003,Kirulapone,P001,T-shirt,Clothing,17,2500,0.0,Thursday
04/01/2024,S003,Kirulapone,P002,Jeans,Clothing,10,5500,0.0,Thursday
04/01/2024,S003,Kirulapone,P003,Jacket,Clothing,5,8500,0.0,Thursday
04/01/2024,S003,Kirulapone,P004,Shoes,Footwear,8,7500,0.0,Thursday
04/01/2024,S003,Kirulapone,P005,Cap,Accessories,9,1200,0.0,Thursday
04/01/2024,S003,Kirulapone,P006,Umbrella,Accessories,5,1800,0.0,Thursday
