Gender,Age,HeadCircumference,ShoulderWidth,ChestWidth,Belly,Waist,Hips,ArmLength,ShoulderToWaist,WaistToKnee,LegLength,TotalHeight,Weight
1.0,30,22,18,20,18,14,22,22,25,25,22,52,39.5
1.0,28,19,22,17,18,21,25,28,23,25,20,56,44.1
2.0,27,21,18,16,14,10,15,21,18,14,18,53,36.2
1.0,29,20,20,18,11,19,14,24,21,20,21,45,25.0
2.0,28,16,14,18,13,11,30,25,22,32,13,47,28.6
2.0,22,17,19,18,14,16,18,20,24,21,19,60,47.1
2.0,18,25,17,16,17,12,28,23,25,14,18,49,32.5
2.0,26,18,15,19,17,23,27,19,19,19,19,58,47.3
1.0,23,16,16,20,18,22,18,15,26,20,19,40,23.5
1.0,31,15,20,28,18,91,17,16,21,21,19,55,48.8
1.0,29,16,28,17,15,21,30,17,25,18,17,50,32.8
1.0,35,23,21,18,12,18,27,18,17,19,20,49,30.1
2.0,29,21,19,17,17,20,21,20,20,18,22,59,48.0
1.0,30,19,17,18,18,24,28,23,22,17,24,47,31.4
2.0,20,24,21,17,16,18,19,19,27,17,19,51,35.3
2.0,27,19,15,20,11,20,18,19,28,17,18,57,41.6
2.0,24,16,20,16,9,25,22,19,19,25,15,60,41.0
1.0,30,21,18,21,12,19,21,15,20,21,20,59,46.1
1.0,35,20,16,28,18,17,23,16,27,23,9,48,37.0
1.0,29,18,15,18,15,18,24,20,25,17,13,42,23.6
1.0,35,25,18,18,15,19,19,23,19,18,21,49,32.3
2.0,29,80,19,16,17,20,20,24,22,19,20,44,26.4
2.0,27,21,21,16,18,22,30,15,20,25,9,45,28.0
1.0,26,16,22,17,14,24,19,22,18,21,13,54,37.5
2.0,24,15,19,17,15,16,20,18,26,21,21,57,43.0
1.0,20,16,16,18,17,15,21,19,19,21,20,60,50.0
1.0,30,20,17,17,19,18,23,15,17,21,18,57,46.3
1.0,35,17,18,18,10,17,24,20,28,20,21,58,40.8
1.0,31,19,15,20,14,22,21,25,27,23,19,45,27.4
1.0,20,28,14,20,18,19,30,24,25,20,20,51,37.8
1.0,24,29,20,18,17,18,35,20,20,16,30,31,13.4
2.0,27,17,22,16,12,18,30,17,27,11,31,30,11.0
1.0,29,19,20,20,14,18,21,20,28,12,21,33,14.7
1.0,27,24,19,16,15,19,21,17,24,12,28,60,47.0
2.0,18,15,21,16,15,20,21,18,17,12,39,45,26.4
2.0,19,14,22,18,17,13,20,19,18,13,27,47,30.6
2.0,20,19,19,18,18,11,23,20,19,14,28,48,32.5
2.0,24,17,21,19,18,11,24,19,20,18,22,40,23.0
1.0,22,18,16,16,19,12,28,19,21,18,21,48,32.6
1.0,24,20,17,17,19,13,20,19,16,17,20,48,32.9
2.0,25,22,17,17,12,13,28,18,19,17,27,60,44.9
1.0,21,23,17,17,12,18,20,20,18,18,17,55,37.7
1.0,25,22,17,22,10,18,21,23,17,16,18,51,33.7
1.0,22,20,18,22,11,14,23,22,17,18,19,52,35.3
2.0,21,19,20,20,11,14,19,20,17,18,30,53,36.0
2.0,19,19,20,21,13,14,18,21,18,17,20,59,46.6
2.0,17,19,21,20,13,13,19,20,18,18,28,50,33.5
1.0,18,27,16,16,14,15,18,19,19,20,27,50,32.0
1.0,25,26,16,14,19,16,19,19,20,21,21,39,20.7
2.0,30,26,14,15,18,17,20,18,20,17,21,57,44.2
2.0,29,19,19,10,16,20,19,21,17,18,22,44,23.3
2.0,28,20,18,16,18,21,30,21,17,18,23,47,30.9
1.0,30,22,15,16,16,21,19,18,18,17,23,57,43.3
1.0,25,19,21,16,19,23,18,19,26,19,14,58,47.5
1.0,30,18,20,17,14,20,17,19,27,16,18,59,45.0
2.0,18,17,21,18,16,20,17,20,26,17,17,51,35.5
2.0,19,17,18,20,19,15,17,20,17,14,19,59,51.3
1.0,28,20,20,18,19,11,18,17,15,11,20,52,39.2
2.0,17,21,19,14,13,15,16,17,21,22,38,60,44.2
1.0,6,17,9,8,8,10,10,11,8,17,19,25,6.0
1.0,8,19,15,13,9,15,15,21,24,17,31,50,27.2
1.0,24,21,17,11,8,20,9,25,21,18,37,60,36.9
2.0,54,26,18,13,11,23,16,23,27,22,46,72,59.2
1.0,16,16,13,17,13,19,16,17,18,18,37,34,14.8
2.0,24,24,21,15,12,16,17,24,21,19,34,38,17.5
1.0,15,19,15,7,8,13,15,17,20,21,37,51,25.2
1.0,4,18,13,15,12,15,15,16,19,13,26,43,22.3
1.0,21,22,16,16,8,9,11,14,20,21,30,50,27.9
1.0,38,20,17,21,14,13,16,22,27,21,41,47,30.4
1.0,49,23,16,14,11,14,14,20,22,23,33,52,31.0
2.0,22,24,18,21,19,21,23,23,27,21,28,59,52.2
1.0,3,15,7,7,6,7,10,10,11,8,17,23,5.1
1.0,12,19,16,15,13,20,16,24,39,21,42,62,46.8
2.0,18,22,18,18,15,17,20,21,26,22,19,38,19.4
1.0,37,25,19,17,22,17,22,19,27,20,27,47,33.3
1.0,21,17,14,17,15,19,16,22,25,21,41,50,33.2
1.0,16,23,15,13,10,13,13,20,22,16,30,56,35.4
1.0,19,20,18,11,9,20,14,21,9,19,41,55,31.7
2.0,32,16,7,8,8,7,8,10,24,8,18,24,5.6
2.0,3,21,19,10,10,22,10,23,24,19,37,60,38.2
1.0,42,24,15,13,9,10,16,21,10,20,36,61,40.5
1.0,2,15,7,11,8,7,15,7,22,7,16,24,5.9
1.0,50,20,18,7,8,10,23,19,20,24,34,38,14.0
1.0,37,21,19,12,16,18,14,26,23,26,29,37,17.0
1.0,20,24,13,18,21,21,24,25,19,19,49,75,84.2
2.0,7,17,11,15,12,13,16,15,22,13,26,40,19.1
1.0,17,19,10,15,13,15,17,21,22,19,33,47,27.2
1.0,24,20,18,12,11,22,13,22,25,20,40,57,36.5
1.0,3,16,8,7,7,8,9,9,10,9,18,23,5.1
1.0,34,20,18,10,9,21,10,24,22,19,38,59,35.7
2.0,24,22,16,12,10,11,14,23,25,19,38,60,39.8
1.0,21,18,14,9,9,10,11,20,23,15,30,53,28.3
1.0,6,20,18,12,11,13,11,22,25,20,40,61,41.8
1.0,31,16,14,12,10,13,19,15,20,11,22,33,11.9
