standard_size,brand,category,brand_specific_size
S,King Street,clothing,S
XL,Emerald,outerwear,XL
S,Libera,footwear,N/A
M,King Street,clothing,M
XL,Miss Modano,dresses,XL
S,Libera,clothing,M
M,Emerald,accessories,N/A
S,King Street,outerwear,S
M,Modano,footwear,N/A
S,Modano,dresses,S
L,Emerald,clothing,L
S,Miss Modano,accessories,N/A
XL,King Street,footwear,N/A
M,Hustle,outerwear,S
M,Emerald,clothing,M
L,Libera,footwear,N/A
M,Hustle,dresses,S
M,Modano,clothing,M
XL,Miss Modano,dresses,XL
S,Hustle,accessories,N/A
M,Miss Modano,footwear,N/A
M,Emerald,clothing,M
XL,King Street,accessories,N/A
L,Modano,outerwear,L
S,Miss Modano,accessories,N/A
L,Miss Modano,clothing,L
XL,King Street,outerwear,XL
L,Emerald,footwear,N/A
L,Hustle,accessories,N/A
M,Hustle,dresses,S
L,Hustle,outerwear,M
M,Libera,outerwear,L
L,Libera,clothing,XL
L,King Street,outerwear,L
XL,Libera,clothing,XL
XL,Miss Modano,footwear,N/A
S,Emerald,footwear,N/A
S,King Street,dresses,S
S,Emerald,footwear,N/A
S,King Street,accessories,N/A
M,Hustle,dresses,S
XL,Emerald,footwear,N/A
M,Emerald,footwear,N/A
S,Hustle,outerwear,S
M,Modano,clothing,M
XL,Miss Modano,clothing,XL
S,Miss Modano,footwear,N/A
XL,Hustle,accessories,N/A
L,Emerald,clothing,L
S,Modano,dresses,S
M,Libera,accessories,N/A
M,Emerald,footwear,N/A
S,Libera,outerwear,M
S,Modano,clothing,S
M,Miss Modano,footwear,N/A
M,Emerald,accessories,N/A
L,Libera,footwear,N/A
L,Modano,footwear,N/A
L,Modano,clothing,L
L,Hustle,dresses,M
S,Miss Modano,clothing,S
L,Emerald,clothing,L
M,Emerald,dresses,M
L,Emerald,clothing,L
XL,Libera,dresses,XL
S,King Street,footwear,N/A
L,Hustle,footwear,N/A
L,Hustle,accessories,N/A
L,Hustle,dresses,M
S,Miss Modano,accessories,N/A
L,King Street,dresses,L
M,Emerald,footwear,N/A
L,Hustle,dresses,M
S,Hustle,clothing,S
XL,Hustle,clothing,L
S,Miss Modano,clothing,S
S,Hustle,clothing,S
XL,King Street,accessories,N/A
S,Miss Modano,dresses,S
M,King Street,footwear,N/A
L,Modano,accessories,N/A
XL,Miss Modano,footwear,N/A
S,Hustle,outerwear,S
L,King Street,dresses,L
XL,King Street,dresses,XL
S,Modano,dresses,S
XL,Miss Modano,footwear,N/A
S,Hustle,footwear,N/A
M,Libera,outerwear,L
L,Miss Modano,clothing,L
M,Hustle,outerwear,S
L,Libera,clothing,XL
L,King Street,clothing,L
L,Emerald,dresses,L
XL,Hustle,clothing,L
L,Modano,accessories,N/A
L,Miss Modano,accessories,N/A
L,Libera,footwear,N/A
M,Hustle,outerwear,S
XL,Modano,footwear,N/A
M,Emerald,clothing,M
M,Modano,outerwear,M
XL,Hustle,outerwear,L
M,Hustle,footwear,N/A
M,Emerald,dresses,M
S,Emerald,dresses,S
L,Libera,outerwear,XL
M,Modano,accessories,N/A
S,Miss Modano,dresses,S
XL,King Street,footwear,N/A
L,Modano,outerwear,L
L,Modano,clothing,L
M,Hustle,accessories,N/A
M,Modano,dresses,M
XL,Emerald,clothing,XL
XL,Hustle,accessories,N/A
L,Hustle,footwear,N/A
L,Hustle,clothing,M
L,Modano,dresses,L
XL,Modano,accessories,N/A
XL,Hustle,footwear,N/A
S,King Street,footwear,N/A
S,Modano,outerwear,S
L,Emerald,accessories,N/A
XL,Hustle,dresses,L
M,King Street,dresses,M
S,King Street,outerwear,S
XL,Modano,accessories,N/A
M,Libera,footwear,N/A
XL,Miss Modano,footwear,N/A
L,Emerald,outerwear,L
S,King Street,outerwear,S
S,Libera,footwear,N/A
XL,Miss Modano,dresses,XL
L,Emerald,accessories,N/A
L,King Street,clothing,L
S,Emerald,accessories,N/A
M,Hustle,dresses,S
XL,King Street,footwear,N/A
L,Modano,outerwear,L
L,Libera,footwear,N/A
M,Hustle,clothing,S
M,Hustle,outerwear,S
L,Miss Modano,accessories,N/A
XL,Hustle,clothing,L
XL,King Street,clothing,XL
L,Modano,accessories,N/A
XL,Libera,accessories,N/A
L,King Street,accessories,N/A
M,Libera,accessories,N/A
M,Hustle,accessories,N/A
M,Hustle,accessories,N/A
