distance_moved_meters,time_elapsed_seconds,velocity_mps,direction_change_degrees,zone_dwell_time_seconds,intent_class
9.3,10.0,0.93,2.5,11.2,Transiting
9.1,10.0,0.91,6.7,10.2,Transiting
3.2,10.0,0.32,175.1,262.5,Browsing
1.8,10.0,0.18,170.5,207.7,Browsing
3.9,10.0,0.39,125.8,263.1,Browsing
15.9,10.0,1.59,3.9,12.2,Transiting
11.0,10.0,1.1,13.6,22.3,Transiting
4.1,10.0,0.41,92.1,197.8,Browsing
8.6,10.0,0.86,3.7,17.7,Transiting
12.5,10.0,1.25,8.7,17.7,Transiting
14.4,10.0,1.44,12.7,34.2,Transiting
1.2,10.0,0.12,54.5,113.3,Browsing
3.6,10.0,0.36,76.0,160.3,Browsing
10.7,10.0,1.07,4.3,22.0,Transiting
1.9,10.0,0.19,31.3,91.3,Browsing
16.9,10.0,1.69,12.0,22.9,Transiting
1.8,10.0,0.18,40.5,135.0,Browsing
17.9,10.0,1.79,6.4,28.5,Transiting
1.8,10.0,0.18,43.5,247.4,Browsing
3.2,10.0,0.32,124.4,237.0,Browsing
1.0,10.0,0.1,116.9,114.8,Browsing
13.4,10.0,1.34,14.2,26.0,Transiting
0.0,10.0,0.0,42.7,290.8,Browsing
7.2,10.0,0.72,9.0,30.1,Transiting
4.0,10.0,0.4,76.9,241.6,Browsing
9.5,10.0,0.95,14.3,33.8,Transiting
15.5,10.0,1.55,14.2,22.7,Transiting
2.1,10.0,0.21,119.6,183.7,Browsing
0.6,10.0,0.06,104.4,235.0,Browsing
15.9,10.0,1.59,3.8,32.9,Transiting
17.8,10.0,1.78,6.8,16.4,Transiting
3.3,10.0,0.33,89.1,167.9,Browsing
9.1,10.0,0.91,9.2,14.7,Transiting
12.1,10.0,1.21,0.2,20.5,Transiting
0.1,10.0,0.01,60.9,182.0,Browsing
16.4,10.0,1.64,6.6,15.8,Transiting
13.1,10.0,1.31,4.4,28.7,Transiting
10.4,10.0,1.04,2.2,14.3,Transiting
0.1,10.0,0.01,133.8,239.8,Browsing
2.4,10.0,0.24,137.1,209.2,Browsing
1.8,10.0,0.18,100.0,51.8,Browsing
0.7,10.0,0.07,101.4,149.7,Browsing
13.8,10.0,1.38,1.0,13.9,Transiting
3.7,10.0,0.37,80.7,212.7,Browsing
6.5,10.0,0.65,3.7,20.3,Transiting
1.3,10.0,0.13,87.2,297.0,Browsing
2.6,10.0,0.26,69.4,295.6,Browsing
15.2,10.0,1.52,3.5,23.5,Transiting
13.5,10.0,1.35,6.2,25.7,Transiting
8.0,10.0,0.8,11.5,24.7,Transiting
2.0,10.0,0.2,141.3,55.0,Browsing
1.9,10.0,0.19,40.7,40.8,Browsing
0.6,10.0,0.06,130.7,221.4,Browsing
6.4,10.0,0.64,11.2,22.9,Transiting
0.2,10.0,0.02,128.5,104.3,Browsing
2.3,10.0,0.23,98.5,195.7,Browsing
8.2,10.0,0.82,9.5,23.0,Transiting
0.1,10.0,0.01,122.3,128.7,Browsing
15.7,10.0,1.57,0.6,28.4,Transiting
7.5,10.0,0.75,10.0,30.9,Transiting
15.6,10.0,1.56,11.2,10.5,Transiting
6.1,10.0,0.61,0.6,13.2,Transiting
13.6,10.0,1.36,13.9,13.0,Transiting
13.0,10.0,1.3,9.2,25.5,Transiting
13.7,10.0,1.37,0.3,22.0,Transiting
3.1,10.0,0.31,112.5,170.0,Browsing
12.3,10.0,1.23,11.4,26.9,Transiting
11.9,10.0,1.19,13.6,26.1,Transiting
7.9,10.0,0.79,8.1,19.5,Transiting
7.6,10.0,0.76,3.8,10.3,Transiting
7.7,10.0,0.77,9.1,14.5,Transiting
3.6,10.0,0.36,133.7,181.9,Browsing
14.8,10.0,1.48,14.2,12.9,Transiting
0.2,10.0,0.02,65.1,268.0,Browsing
1.1,10.0,0.11,140.6,164.1,Browsing
0.3,10.0,0.03,113.6,193.6,Browsing
14.0,10.0,1.4,2.2,32.0,Transiting
15.4,10.0,1.54,3.2,21.9,Transiting
3.0,10.0,0.3,39.2,131.6,Browsing
12.2,10.0,1.22,1.4,12.6,Transiting
3.8,10.0,0.38,177.3,268.3,Browsing
3.5,10.0,0.35,106.8,214.3,Browsing
4.1,10.0,0.41,79.3,265.8,Browsing
0.3,10.0,0.03,119.2,244.1,Browsing
2.3,10.0,0.23,177.9,71.6,Browsing
2.3,10.0,0.23,96.4,196.9,Browsing
17.0,10.0,1.7,0.2,14.7,Transiting
17.4,10.0,1.74,14.7,28.3,Transiting
0.3,10.0,0.03,164.4,231.1,Browsing
16.5,10.0,1.65,10.5,34.0,Transiting
10.0,10.0,1.0,10.2,17.6,Transiting
2.2,10.0,0.22,45.9,124.5,Browsing
10.4,10.0,1.04,2.5,29.4,Transiting
0.5,10.0,0.05,66.0,72.2,Browsing
13.2,10.0,1.32,2.8,13.8,Transiting
3.0,10.0,0.3,62.7,265.9,Browsing
0.8,10.0,0.08,125.6,149.7,Browsing
1.6,10.0,0.16,143.4,257.5,Browsing
2.3,10.0,0.23,143.2,112.8,Browsing
2.8,10.0,0.28,82.6,205.8,Browsing
10.8,10.0,1.08,12.0,16.7,Transiting
15.9,10.0,1.59,7.8,31.2,Transiting
2.6,10.0,0.26,79.4,133.8,Browsing
1.3,10.0,0.13,45.4,48.1,Browsing
9.3,10.0,0.93,8.1,29.2,Transiting
12.4,10.0,1.24,4.1,16.1,Transiting
11.5,10.0,1.15,4.4,19.2,Transiting
1.7,10.0,0.17,71.4,211.1,Browsing
4.1,10.0,0.41,142.5,179.9,Browsing
3.3,10.0,0.33,40.3,113.4,Browsing
12.4,10.0,1.24,14.9,25.8,Transiting
17.5,10.0,1.75,7.2,13.4,Transiting
9.2,10.0,0.92,6.2,34.3,Transiting
4.4,10.0,0.44,98.7,136.8,Browsing
18.0,10.0,1.8,13.7,17.9,Transiting
2.0,10.0,0.2,42.0,114.5,Browsing
7.5,10.0,0.75,3.0,24.0,Transiting
9.6,10.0,0.96,12.9,16.6,Transiting
11.0,10.0,1.1,2.1,34.6,Transiting
13.8,10.0,1.38,14.8,30.3,Transiting
3.9,10.0,0.39,60.1,226.2,Browsing
12.0,10.0,1.2,5.3,13.3,Transiting
7.7,10.0,0.77,0.7,18.0,Transiting
13.7,10.0,1.37,7.9,22.5,Transiting
0.9,10.0,0.09,104.9,135.2,Browsing
15.6,10.0,1.56,12.4,22.2,Transiting
0.6,10.0,0.06,85.1,277.8,Browsing
12.9,10.0,1.29,10.3,17.4,Transiting
17.3,10.0,1.73,9.4,27.7,Transiting
4.4,10.0,0.44,148.9,44.0,Browsing
2.3,10.0,0.23,161.9,71.5,Browsing
2.9,10.0,0.29,148.4,93.9,Browsing
14.9,10.0,1.49,14.4,15.9,Transiting
4.1,10.0,0.41,47.0,111.7,Browsing
10.3,10.0,1.03,2.9,10.7,Transiting
7.8,10.0,0.78,8.3,25.6,Transiting
2.9,10.0,0.29,123.9,47.2,Browsing
8.5,10.0,0.85,12.6,21.6,Transiting
2.6,10.0,0.26,96.6,51.9,Browsing
17.6,10.0,1.76,9.7,17.7,Transiting
1.2,10.0,0.12,160.7,145.9,Browsing
2.8,10.0,0.28,56.9,135.7,Browsing
2.1,10.0,0.21,73.2,54.6,Browsing
2.6,10.0,0.26,128.2,116.9,Browsing
3.6,10.0,0.36,31.7,91.2,Browsing
8.6,10.0,0.86,13.6,12.3,Transiting
4.3,10.0,0.43,39.9,119.6,Browsing
12.5,10.0,1.25,4.9,24.6,Transiting
11.3,10.0,1.13,10.4,12.6,Transiting
6.7,10.0,0.67,2.7,26.4,Transiting
17.9,10.0,1.79,3.1,17.5,Transiting
1.5,10.0,0.15,96.6,85.6,Browsing
14.4,10.0,1.44,6.8,17.6,Transiting
0.6,10.0,0.06,80.0,240.8,Browsing
13.4,10.0,1.34,9.5,29.4,Transiting
8.8,10.0,0.88,8.5,34.3,Transiting
12.9,10.0,1.29,1.2,22.5,Transiting
0.8,10.0,0.08,116.4,196.6,Browsing
14.6,10.0,1.46,12.1,28.4,Transiting
8.7,10.0,0.87,1.2,22.4,Transiting
3.4,10.0,0.34,38.9,92.4,Browsing
0.9,10.0,0.09,38.1,119.4,Browsing
1.1,10.0,0.11,51.9,106.4,Browsing
11.2,10.0,1.12,0.1,29.7,Transiting
2.7,10.0,0.27,159.3,69.0,Browsing
11.8,10.0,1.18,6.1,33.7,Transiting
3.7,10.0,0.37,151.5,176.5,Browsing
6.7,10.0,0.67,8.0,13.6,Transiting
4.3,10.0,0.43,87.3,191.5,Browsing
3.9,10.0,0.39,108.2,193.8,Browsing
0.7,10.0,0.07,149.6,167.0,Browsing
7.7,10.0,0.77,5.3,16.5,Transiting
11.7,10.0,1.17,11.5,24.6,Transiting
2.5,10.0,0.25,170.7,170.5,Browsing
3.7,10.0,0.37,111.3,43.0,Browsing
14.5,10.0,1.45,10.7,17.7,Transiting
2.6,10.0,0.26,168.6,175.0,Browsing
15.8,10.0,1.58,3.4,21.7,Transiting
0.1,10.0,0.01,30.9,204.5,Browsing
10.6,10.0,1.06,11.9,15.4,Transiting
3.1,10.0,0.31,119.4,237.7,Browsing
4.2,10.0,0.42,62.8,195.0,Browsing
14.8,10.0,1.48,8.0,23.9,Transiting
9.7,10.0,0.97,2.9,13.9,Transiting
9.0,10.0,0.9,3.9,23.1,Transiting
3.8,10.0,0.38,61.0,175.5,Browsing
13.3,10.0,1.33,14.6,12.6,Transiting
3.8,10.0,0.38,121.9,122.3,Browsing
15.6,10.0,1.56,12.1,17.0,Transiting
0.7,10.0,0.07,72.9,251.9,Browsing
8.6,10.0,0.86,9.0,29.6,Transiting
1.7,10.0,0.17,111.0,50.5,Browsing
3.8,10.0,0.38,53.0,181.7,Browsing
3.2,10.0,0.32,78.5,266.3,Browsing
16.3,10.0,1.63,3.9,31.9,Transiting
9.8,10.0,0.98,8.4,27.4,Transiting
1.5,10.0,0.15,73.1,299.6,Browsing
1.7,10.0,0.17,114.9,41.0,Browsing
1.3,10.0,0.13,153.3,146.3,Browsing
3.8,10.0,0.38,34.9,143.0,Browsing
1.5,10.0,0.15,140.2,171.7,Browsing
4.2,10.0,0.42,66.6,282.9,Browsing
11.9,10.0,1.19,12.5,30.1,Transiting
4.0,10.0,0.4,34.4,292.4,Browsing
4.0,10.0,0.4,54.6,188.3,Browsing
1.2,10.0,0.12,93.1,58.5,Browsing
3.3,10.0,0.33,33.9,266.7,Browsing
4.1,10.0,0.41,176.8,196.1,Browsing
2.8,10.0,0.28,174.9,204.9,Browsing
8.9,10.0,0.89,9.7,34.5,Transiting
3.1,10.0,0.31,91.1,219.6,Browsing
3.2,10.0,0.32,143.0,56.4,Browsing
0.9,10.0,0.09,158.8,144.3,Browsing
8.0,10.0,0.8,3.2,13.6,Transiting
11.3,10.0,1.13,8.9,10.7,Transiting
13.8,10.0,1.38,0.6,31.7,Transiting
10.9,10.0,1.09,0.3,15.3,Transiting
13.0,10.0,1.3,6.6,16.8,Transiting
2.9,10.0,0.29,132.2,287.3,Browsing
9.6,10.0,0.96,13.2,16.4,Transiting
6.8,10.0,0.68,12.1,12.7,Transiting
12.8,10.0,1.28,4.0,11.8,Transiting
0.2,10.0,0.02,41.8,87.0,Browsing
1.5,10.0,0.15,175.3,149.3,Browsing
11.9,10.0,1.19,9.3,17.6,Transiting
6.0,10.0,0.6,9.6,13.9,Transiting
11.2,10.0,1.12,14.5,21.0,Transiting
14.9,10.0,1.49,2.4,10.1,Transiting
2.9,10.0,0.29,172.6,116.4,Browsing
1.3,10.0,0.13,57.3,240.1,Browsing
12.1,10.0,1.21,0.2,34.2,Transiting
1.7,10.0,0.17,86.5,212.5,Browsing
4.1,10.0,0.41,54.1,45.8,Browsing
14.0,10.0,1.4,9.1,19.8,Transiting
0.3,10.0,0.03,68.0,290.4,Browsing
2.5,10.0,0.25,178.6,110.1,Browsing
1.9,10.0,0.19,172.9,219.5,Browsing
1.5,10.0,0.15,113.4,87.9,Browsing
3.7,10.0,0.37,55.8,101.1,Browsing
2.1,10.0,0.21,160.5,260.8,Browsing
14.7,10.0,1.47,7.5,13.6,Transiting
9.7,10.0,0.97,13.4,11.7,Transiting
2.4,10.0,0.24,42.0,277.8,Browsing
11.7,10.0,1.17,8.6,32.5,Transiting
0.4,10.0,0.04,136.8,200.5,Browsing
12.0,10.0,1.2,3.5,12.7,Transiting
11.0,10.0,1.1,2.0,15.2,Transiting
16.6,10.0,1.66,5.3,27.8,Transiting
0.5,10.0,0.05,122.0,157.8,Browsing
2.6,10.0,0.26,116.4,92.8,Browsing
3.1,10.0,0.31,51.7,127.0,Browsing
8.4,10.0,0.84,2.5,15.5,Transiting
13.5,10.0,1.35,1.8,24.3,Transiting
15.6,10.0,1.56,7.5,18.2,Transiting
2.9,10.0,0.29,165.5,183.1,Browsing
13.9,10.0,1.39,8.6,11.8,Transiting
11.2,10.0,1.12,0.6,13.3,Transiting
8.8,10.0,0.88,5.8,31.9,Transiting
4.1,10.0,0.41,175.5,150.8,Browsing
2.3,10.0,0.23,174.0,282.5,Browsing
13.2,10.0,1.32,1.0,20.0,Transiting
1.3,10.0,0.13,169.4,225.0,Browsing
9.7,10.0,0.97,12.5,21.7,Transiting
2.9,10.0,0.29,42.5,284.9,Browsing
0.4,10.0,0.04,166.9,130.4,Browsing
7.6,10.0,0.76,13.0,19.6,Transiting
9.5,10.0,0.95,9.5,17.0,Transiting
10.4,10.0,1.04,0.0,13.3,Transiting
1.2,10.0,0.12,141.8,116.4,Browsing
3.6,10.0,0.36,52.1,261.6,Browsing
3.1,10.0,0.31,127.4,106.2,Browsing
11.1,10.0,1.11,4.9,21.3,Transiting
7.6,10.0,0.76,9.2,14.7,Transiting
14.8,10.0,1.48,6.3,32.3,Transiting
3.9,10.0,0.39,133.4,298.4,Browsing
0.1,10.0,0.01,132.9,106.9,Browsing
16.7,10.0,1.67,2.6,26.0,Transiting
3.6,10.0,0.36,175.2,105.7,Browsing
7.6,10.0,0.76,1.7,29.0,Transiting
17.3,10.0,1.73,6.0,20.2,Transiting
7.3,10.0,0.73,2.0,25.6,Transiting
14.0,10.0,1.4,5.8,19.7,Transiting
1.8,10.0,0.18,110.5,250.9,Browsing
13.1,10.0,1.31,13.7,21.3,Transiting
10.5,10.0,1.05,8.3,15.2,Transiting
0.1,10.0,0.01,69.6,188.7,Browsing
9.2,10.0,0.92,0.3,11.5,Transiting
4.3,10.0,0.43,175.6,159.8,Browsing
2.1,10.0,0.21,129.0,289.4,Browsing
